strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010200050705,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050706,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050707,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050801,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050802,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050803,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050804,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050805,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050901,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050902,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050903,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050904,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050905,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050906,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051001,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051002,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051003,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051004,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051005,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051006,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051007,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051008,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051009,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010101,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010102,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010201,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010202,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010203,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010204,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010205,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010206,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010301,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010302,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010303,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010304,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010305,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010306,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010307,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010308,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010309,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010310,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010401,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010402,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010403,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010404,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010508,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010509,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010510,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010601,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010602,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010603,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010604,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010605,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010606,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010607,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010608,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010609,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010610,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020101,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020102,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020103,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020104,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020105,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020106,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020201,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020202,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020203,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020204,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020301,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020302,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020303,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020304,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020401,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020402,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020403,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020404,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020405,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020406,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020501,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020502,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020503,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020504,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020505,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020506,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030101,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030102,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030103,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030104,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030105,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030106,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030201,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030202,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030203,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030301,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030302,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030303,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030304,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030401,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030402,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030501,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030502,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030503,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030601,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030602,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030701,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030702,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030703,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030801,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030802,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030803,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030804,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030901,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030902,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030903,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030904,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030905,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031001,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031002,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031003,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031004,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031101,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031102,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031103,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031201,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031202,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031203,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031204,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031205,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031206,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031301,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031302,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031401,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031402,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031403,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031404,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031405,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031501,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031502,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031503,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031504,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031505,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031506,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031507,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031601,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031602,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031603,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031604,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031605,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031606,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031701,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031702,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031801,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031802,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031803,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031804,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031805,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031806,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031901,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031902,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031903,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300031904,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032001,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032002,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032003,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032004,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032005,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032101,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032102,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032103,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032104,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032105,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032106,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032201,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032202,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
