"Response","Predictor","effect_type","boot.eff","boot.eff.mean","boot.bias","boot.SE","boot.ci.low","boot.ci.up","boot.z","boot.p","psem.sig","ci.sig","joint_sig"
"Bb_infected","cap_prop_night","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Bb_infected","capprop_shift","direct",0.08263657774404,0.103813085557938,0.0110351372952029,0.0727528598755283,-0.0136828643447778,0.221309035460654,1.13585332432871,0.256017955581767,FALSE,FALSE,FALSE
"Bb_infected","clim_PC1","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Bb_infected","expr_PC1","direct",-0.00132685908249011,-0.00107942807982331,0.000857885472736684,0.088365043237908,-0.148049746762469,0.145890890602822,-0.015015655895938,0.988019690191914,FALSE,FALSE,FALSE
"Bb_infected","sex_male","direct",0.0433966311064396,0.0476641922293621,0.00204679545111417,0.0781784077970824,-0.0809349218292558,0.17626330628798,0.555097402585617,0.578828039309535,FALSE,FALSE,FALSE
"Bb_infected","sex_mature","direct",0.149992508401879,0.158626434515138,0.00655556335498975,0.0795803073318294,0.0274223799054469,0.28983048912483,1.88479428430011,0.0594576169502938,TRUE,TRUE,TRUE
"Bb_infected","ticks_attached","direct",0.176163784779953,0.184903000094055,0.00674541732463324,0.082370313686664,0.0502336731086195,0.31957232707949,2.13868051358987,0.0324615518435424,TRUE,TRUE,TRUE
"Bb_infected","weight","direct",0.158759829581948,0.165515958655024,0.0025882908693132,0.0793747531999135,0.0349637962347839,0.296068121075263,2.00013005624213,0.0454862219982861,TRUE,TRUE,TRUE
"Bb_infected","wthr_PC1","direct",0.158812830817537,0.169059944797039,0.00778244689254004,0.0806049128378524,0.0377154304749745,0.300404459119105,1.97026242230434,0.0488083027488968,TRUE,TRUE,TRUE
"expr_PC1","cap_prop_night","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"expr_PC1","capprop_shift","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"expr_PC1","clim_PC1","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"expr_PC1","sex_male","direct",0.106098939725321,0.104109988784969,-0.00107753647832078,0.0456785308713438,0.0286567009952398,0.179563276574698,2.32273100078797,0.0201936077952605,TRUE,TRUE,TRUE
"expr_PC1","sex_mature","direct",-0.057582834980865,-0.0562651915097978,0.000707636151310233,0.0463222648763446,-0.133452827737317,0.0209224447177219,-1.24309195879303,0.213833948631394,FALSE,FALSE,FALSE
"expr_PC1","ticks_attached","direct",-0.0723810283070149,-0.0735800852483663,-0.00133312030582051,0.0494255218197581,-0.154293716381894,0.00713354588516197,-1.46444641638726,0.143072013607842,FALSE,FALSE,FALSE
"expr_PC1","weight","direct",0.146467290740908,0.146991676971769,-0.000461238486095333,0.0469303558822106,0.0705032341879827,0.223480119755556,3.12094992649369,0.00180268684065982,TRUE,TRUE,TRUE
"expr_PC1","wthr_PC1","direct",0.124631892277484,0.127287631090602,-9.91240457148823e-05,0.0500184397707455,0.0448660170347288,0.209709245146475,2.49171891104004,0.0127126600293769,TRUE,TRUE,TRUE
"expr_PC2","Bb_infected","direct",0.120090011619361,0.120641062083079,0.00167514397904137,0.0682547046053934,0.0103354366098017,0.230946687556356,1.75943932822869,0.0785029169141856,TRUE,TRUE,TRUE
"expr_PC2","cap_prop_night","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"expr_PC2","capprop_shift","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"expr_PC2","clim_PC1","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"expr_PC2","expr_PC1","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"expr_PC2","sex_male","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"expr_PC2","sex_mature","direct",0.103346497555563,0.101494888215097,-0.000868274604437766,0.0602894569995872,0.00223265602078076,0.200757120409414,1.71417197465007,0.0864971462987776,TRUE,TRUE,TRUE
"expr_PC2","ticks_attached","direct",0.0417901462642663,0.0381827024555214,-0.00286886977888866,0.0617632833256215,-0.0605849426979657,0.136950347609009,0.676617951865431,0.498648386075064,FALSE,FALSE,FALSE
"expr_PC2","weight","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"expr_PC2","wthr_PC1","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ticks_attached","cap_prop_night","direct",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ticks_attached","capprop_shift","direct",-0.0457632482751929,-0.047002786196883,-0.000363984847561553,0.0261953570417672,-0.0901342321055421,-0.00387134028822396,-1.74699845481112,0.0806376061420977,TRUE,TRUE,TRUE
"ticks_attached","clim_PC1","direct",0.195286189674172,0.196236883855107,0.000268239136682641,0.108084947879915,0.0206653289438486,0.371808438766366,-1.80678432570593,0.0707959135681597,TRUE,TRUE,TRUE
"ticks_attached","sex_male","direct",0.111819447774674,0.112992591915949,0.000371799352222715,0.0259813403200327,0.0699695902462253,0.156015593585672,4.30383676890052,1.67865362661099e-05,TRUE,TRUE,TRUE
"ticks_attached","sex_mature","direct",0.0249053793399242,0.0254165987785766,0.000978940021926826,0.0258965812881832,-0.0172719400504448,0.068105137607598,0.961724602285196,0.336187960671398,FALSE,FALSE,FALSE
"ticks_attached","weight","direct",-0.0239297618290397,-0.0245230510203886,-0.000538742749152721,0.0262151595801984,-0.0678337687614975,0.0187876667207203,-0.912821520534057,0.361336417954819,FALSE,FALSE,FALSE
"ticks_attached","wthr_PC1","direct",0.206032603139329,0.21012566367301,0.00199693763348557,0.0302087703789422,0.160182051936059,0.260069275409961,6.82029094712669,9.08563130045719e-12,TRUE,TRUE,TRUE
"Bb_infected","cap_prop_night","indirect",0.038882685575643,0.0497694927779466,0.00543722305839073,0.0380586649175425,-0.011695451541141,0.111234437097034,1.02165132854465,0.306945954772786,NA,FALSE,FALSE
"Bb_infected","capprop_shift","indirect",-0.0080662220960244,-0.0103554289929994,-0.000433319619990418,0.00652577529183726,-0.0205721546878452,-0.000138703298153511,-1.23605575357674,0.216437840178098,NA,TRUE,TRUE
"Bb_infected","clim_PC1","indirect",0.0424349316564732,0.0504254250640503,0.0013219016321125,0.029040409614624,0.00476111246102007,0.0960897376670804,-1.46123736612531,0.143950311868751,NA,TRUE,TRUE
"Bb_infected","expr_PC1","indirect",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Bb_infected","sex_male","indirect",0.0343560139281829,0.0377197174701317,0.00175093527908084,0.0155355085382959,0.0122699967472823,0.063169438192981,2.21145087355804,0.0270046302392612,NA,TRUE,TRUE
"Bb_infected","sex_mature","indirect",0.077415380387749,0.0818671875851168,0.00130546770526437,0.0381331249436679,0.0195980339652363,0.144136341204997,2.0301347057738,0.0423428486113904,NA,TRUE,TRUE
"Bb_infected","ticks_attached","indirect",9.60394248091362e-05,-8.79799140580525e-05,-0.000137871139233105,0.00780856514627987,-0.012860536753625,0.0126845769255089,0.0122992410270011,0.990186872883051,NA,FALSE,FALSE
"Bb_infected","weight","indirect",0.000525974065005815,0.00159490671177234,0.000652777648286082,0.0159800511343739,-0.0242691779160408,0.0274589913395855,0.0329144168928482,0.973742836007398,NA,FALSE,FALSE
"Bb_infected","wthr_PC1","indirect",0.0339888934654041,0.0370789389740937,0.00150020368901126,0.0224007609279258,0.00137823828707583,0.0727796396611115,1.51730977241188,0.129188492054636,NA,TRUE,TRUE
"expr_PC1","cap_prop_night","indirect",0.0017271562596866,0.0022868589708135,1.99469518378495e-05,0.00165529486803638,-0.000325206834742602,0.0048989247763696,1.04341304563789,0.296757034088105,NA,FALSE,FALSE
"expr_PC1","capprop_shift","indirect",0.00331239096882769,0.00441644155572802,4.11021251255084e-05,0.00317038113872763,-0.000619383121481765,0.0094522662329378,1.0447926681008,0.296118804273308,NA,FALSE,FALSE
"expr_PC1","clim_PC1","indirect",-0.0137606999724026,-0.0182369209273209,7.19526472188828e-05,0.0135502749548258,-0.0397429072558758,0.00326906540123399,1.01552920647576,0.309853631594052,NA,FALSE,FALSE
"expr_PC1","sex_male","indirect",-0.00993346296087712,-0.0107457760477518,-0.000170759843147475,0.00673377809437577,-0.021707930844994,0.000216378749490306,-1.47516933609289,0.140167023198245,NA,FALSE,FALSE
"expr_PC1","sex_mature","indirect",0.0682047627899629,0.068584394739541,-0.000345384268099921,0.0223079610585603,0.0321354877921333,0.105033301686949,3.05741804958865,0.00223252677498736,NA,TRUE,TRUE
"expr_PC1","ticks_attached","indirect",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"expr_PC1","weight","indirect",0.00195141272557946,0.0027252295607035,8.26943428657567e-05,0.00270866716984554,-0.00132100319125878,0.00677146231266579,0.720432819249157,0.471258549182484,NA,FALSE,FALSE
"expr_PC1","wthr_PC1","indirect",-0.0264616883031261,-0.0274166870666872,-0.00034186282686886,0.0114553593413234,-0.0458922336721584,-0.00894114046121593,-2.30998325889872,0.020889080981662,NA,TRUE,TRUE
"expr_PC2","Bb_infected","indirect",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"expr_PC2","cap_prop_night","indirect",0.00367222559875048,0.00641999007047294,0.000929764773219348,0.006719962843911,-0.00387852261090677,0.0167185027518527,0.54646516417541,0.584746227305494,NA,FALSE,FALSE
"expr_PC2","capprop_shift","indirect",0.00704270203728184,0.0125549106345912,0.00180568038077899,0.0129250745851331,-0.00755238427894617,0.0326622055481286,0.544886761843726,0.585831401583654,NA,FALSE,FALSE
"expr_PC2","clim_PC1","indirect",0.0169199104977161,0.0214389073048247,-0.000223153888244738,0.0165975820784776,-0.00520572121996871,0.048083535829618,-1.01942020335941,0.308003518673968,NA,FALSE,FALSE
"expr_PC2","expr_PC1","indirect",-0.000159342522633492,-0.000605737005604484,-7.55579131035372e-05,0.0121796209535033,-0.0207504972537484,0.0195390232425395,-0.0130827160583893,0.989561800607108,NA,FALSE,FALSE
"expr_PC2","sex_male","indirect",0.0213527553925051,0.0227508711247346,0.00024535033942304,0.0138048483704537,0.000414447278603652,0.0450872949708655,1.54675769117508,0.121921685883494,NA,TRUE,TRUE
"expr_PC2","sex_mature","indirect",0.0278768372025315,0.0327854786053251,0.00142684981658835,0.0194645436837804,0.00227199027106528,0.0632989669395849,1.43218549869016,0.152090740710043,NA,TRUE,TRUE
"expr_PC2","ticks_attached","indirect",0.0211670443367765,0.0260961682702242,0.000890152331648766,0.0165949138816553,-4.10999662399294e-05,0.0522334365066882,1.27551396094772,0.202127385883626,NA,FALSE,FALSE
"expr_PC2","weight","indirect",0.018001960003341,0.0232241290945967,0.000714255864497439,0.0159343740844644,-0.00257697015600494,0.0490252283451983,1.12975633105617,0.258578913667638,NA,FALSE,FALSE
"expr_PC2","wthr_PC1","indirect",0.0382828174344679,0.0411473658159376,0.00100878934364831,0.0203316656709163,0.00807194914417844,0.0742227824876969,1.8829159427518,0.0597117603031213,NA,TRUE,TRUE
"ticks_attached","cap_prop_night","indirect",-0.0238620022412588,-0.0244525993692041,-0.000158185883751785,0.0136744480997051,-0.046830306015815,-0.00207489272259314,-1.74500660408908,0.0809837194033595,NA,TRUE,TRUE
"ticks_attached","capprop_shift","indirect",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ticks_attached","clim_PC1","indirect",0.000478469878926848,0.000915361791102195,2.96343591931866e-05,0.00126565640824483,-0.00108548877667737,0.00291621235888177,-0.378040893097024,0.705400215929231,NA,FALSE,FALSE
"ticks_attached","sex_male","indirect",0.000502046199375609,0.000523684823765338,3.48032386505117e-05,0.0021121321528365,-0.00289447428097098,0.00394184392850165,0.237696395417958,0.812116579598419,NA,FALSE,FALSE
"ticks_attached","sex_mature","indirect",-0.0113278601025216,-0.0117843523548461,-0.000242112588811129,0.0124115324764743,-0.0320966790027401,0.00852797429304783,-0.912688269880718,0.361406514945489,NA,FALSE,FALSE
"ticks_attached","weight","indirect",-0.00303051728308137,-0.00341636561734474,-1.4915922638322e-05,0.00199596679028776,-0.00663491172920367,-0.000197819505485801,-1.51832049402207,0.128933623705536,NA,TRUE,TRUE
"ticks_attached","wthr_PC1","indirect",0.00492644163167796,0.00505988086534956,0.000100184402771447,0.00283398500663926,0.000350895132532176,0.00976886659816694,1.73834428203983,0.0821501680795577,NA,TRUE,TRUE
